Date,BTC,LastWeek,NextDay,NextThreeDays,NextWeek,,,,,,
12/02/2019,1118.99689,0.052525813,-1,-1,1,,,,,,
13/02/2019,4399.99989,0.070233465,-1,-1,1,,,,,,
14/02/2019,4934.61999,0.068422066,1,1,1,,,,,,
26/02/2019,334,-0.016315341,-1,1,1,,,,,,
27/02/2019,33,-0.036367293,1,1,1,,,,,,
01/03/2019,81,-0.037633307,1,-1,1,,,,,,
03/03/2019,72,0.014168371,-1,1,1,,,,,,
04/03/2019,41,-0.009148413,1,1,1,,,,,,
05/03/2019,10,-0.024076846,1,1,1,,,,,,
09/03/2019,122,0.009501193,-1,-1,1,,,,,,
12/03/2019,16,0.002271931,-1,1,1,,,,,,
22/03/2019,85.99920862,0.017272736,1,-1,1,,,,,,
24/03/2019,37,0.002632748,-1,1,1,,,,,,
30/03/2019,64,0.015498213,-1,1,1,,,,,,
01/04/2019,42,0.035915015,1,1,1,,,,,,
05/04/2019,1000,0.201158853,1,1,1,,,,,,
09/04/2019,284,0.083996582,1,-1,1,,,,,,
12/04/2019,287,0.005520826,1,-1,1,,,,,,
13/04/2019,15,0.005874062,1,1,1,,,,,,
17/04/2019,153,-0.016713555,1,1,1,,,,,,
20/04/2019,84,0.040659778,-1,1,-1,,,,,,
24/04/2019,374,0.061010682,-1,-1,-1,,,,,,
26/04/2019,263,-0.01759053,-1,-1,1,,,,,,
30/04/2019,82,-0.058325311,1,1,1,,,,,,
02/05/2019,26,0.036883421,1,1,1,,,,,,
03/05/2019,68,0.042796107,1,-1,1,,,,,,
05/05/2019,60,0.103313896,-1,1,1,,,,,,
06/05/2019,147,0.104501452,1,1,1,,,,,,
08/05/2019,163,0.078998355,1,1,1,,,,,,
10/05/2019,126,0.070426294,1,1,1,,,,,,
11/05/2019,493,0.093923154,-1,1,1,,,,,,
12/05/2019,732,0.243121784,1,1,1,,,,,,
13/05/2019,943,0.213260063,1,1,1,,,,,,
17/05/2019,833,0.236102161,-1,1,1,,,,,,
30/05/2019,327,0.098662237,1,1,-1,,,,,,
31/05/2019,952,0.041578268,-1,-1,-1,,,,,,
07/06/2019,75,-0.087757694,-1,-1,1,,,,,,
09/06/2019,52,-0.090224622,1,1,1,,,,,,
27/06/2019,4100,0.366223642,1,-1,1,,,,,,
28/06/2019,746,0.102345527,-1,-1,-1,,,,,,
12/07/2019,488,0.034631647,-1,-1,-1,,,,,,
16/07/2019,708,-0.133509439,1,1,1,,,,,,
18/07/2019,156,-0.146571785,-1,-1,-1,,,,,,
19/07/2019,129,-0.097283788,1,-1,-1,,,,,,
